TeamId,TeamName,SubmissionDate,Score
8908756,WillNU,"2022-07-18 05:05:44",1.00000
8908770,"kaiwei qin","2022-07-18 05:09:58",1.00000
6987444,"no name","2022-09-14 07:59:00",1.00000
8911672,"Jefrin Jo","2022-07-18 15:31:33",1.00000
8916358,KilianKemna,"2022-07-19 16:11:44",1.00000
8844921,"Oday Mourad","2022-09-11 19:15:48",1.00000
8889195,"bunko cyo","2022-07-20 02:57:55",1.00000
8919766,"Kushagra Pandya","2022-07-20 09:41:27",1.00000
8923271,RaisyXu99,"2022-07-25 00:51:04",1.00000
8924335,BjG.oodd,"2022-07-21 10:11:16",1.00000
8903880,"KAIS ZAIRI","2022-07-22 00:07:15",1.00000
8922008,"Turki Quhtani","2022-08-30 12:13:10",1.00000
3599488,"Rohit Gadhwar","2022-07-22 11:21:39",1.00000
8929957,"Rachit Pandya","2022-07-22 20:43:43",1.00000
8937427,"Abdalrahman Shahrour","2022-07-25 05:06:14",1.00000
8936492,"Kuldeep Jangra","2022-07-25 15:58:37",1.00000
8925550,"YH Jony","2022-07-26 09:57:38",1.00000
8942678,"Raja Singh #2","2022-07-26 10:08:58",1.00000
8945567,Amneris,"2022-07-27 03:35:52",1.00000
8945822,lzjnb,"2022-08-05 01:39:46",1.00000
3679648,R.R,"2022-07-28 12:57:49",1.00000
8954049,wyyfocus,"2022-07-29 07:53:59",1.00000
8947466,"Sasi kumar G","2022-07-30 09:10:02",1.00000
4471609,"Ofir Mazor","2022-07-30 15:25:03",1.00000
8961828,Duhaowen,"2022-07-31 09:49:25",1.00000
8796301,Thanuxx,"2022-08-18 20:04:12",1.00000
8966599,wengweihao,"2022-08-01 11:52:38",1.00000
8972117,"Rahul Dhamne","2022-08-02 16:38:26",1.00000
8877839,C_Utopia,"2022-08-03 07:21:19",1.00000
8977762,"Bikram Saha #2","2022-08-08 12:18:06",1.00000
5793515,"Caleb Choe","2022-08-04 13:49:00",1.00000
8924580,"Joachim Spange","2022-08-05 11:35:55",1.00000
6131706,"Abdelrhman Mohamed","2022-08-05 18:59:10",1.00000
8975994,"samarth prabhu","2022-08-08 07:18:17",1.00000
8984333,"yogeshwar chaudhari","2022-08-08 09:35:17",1.00000
8856396,"Yan Liu #5","2022-08-08 15:46:30",1.00000
8903527,"Luo Li","2022-08-08 20:29:50",1.00000
8977305,"BORIS MBOBE","2022-08-17 22:01:47",1.00000
8991486,"adoum taiga","2022-08-16 16:30:54",1.00000
8935726,hogwarts998,"2022-08-09 07:18:15",1.00000
8997127,"James Ina","2022-08-10 08:40:08",1.00000
7114555,"Maxim Semyonov","2022-08-10 09:10:54",1.00000
8901822,"mahwiz khalil","2022-08-17 19:07:59",1.00000
9009031,"liutao #2","2022-08-11 16:38:24",1.00000
9019603,Chayann123123,"2022-08-14 09:51:33",1.00000
9009588,"Rishav Nandi","2022-08-27 04:13:21",1.00000
2229385,AntiSquid,"2022-08-14 18:01:23",1.00000
9022220,"John Michael Soliman","2022-08-15 04:49:26",1.00000
9006919,"Sudipta Prasad","2022-08-15 16:54:10",1.00000
8939728,"Baurzhanov Amir","2022-08-15 14:14:55",1.00000
8186117,keerthana.rudrakshula,"2022-08-15 17:26:21",1.00000
9023319,wqx2022,"2022-08-16 03:13:44",1.00000
9001233,"Sayel Abualigah","2022-08-16 03:57:06",1.00000
